f3268d91-4153-4532-b92a-0eb66d2cae5b	NITI Aayog	organization	IN	100	NA||NITI Aayog Ministry
b1df1c4c-1479-4dff-a736-ecb107d93554	MK Stalin	person		97	M.K. Stalin||Kalaignar||MK Stalin
8dd8b98a-c501-45f1-9d98-c5e800cad6e4	Samajwadi Party	person	IN	92	SP||Samajwadi Party (Alambadi)||Shri Samajwadi Party||MLA Party||Party||Dr. Samajwadi Party||Prof. Samajwadi Party
1bbfa30f-8958-4531-81a8-6372b5a11fa6	Nirmala Sitharaman	person	IN	79	Dr. Nirmala Sitharaman||Shri Nirmala Sitharaman||Prof. Nirmala Sitharaman||MP Sitharaman||Sitharaman
8b49e04c-65aa-4b8e-8d90-e7b250c98df7	Akhilesh Yadav	person	IN	65	Akhilesh Yadav (Akhilesh Yadav)||Prof. Akhilesh Yadav||Dr. Akhilesh Yadav||Shri Akhilesh Yadav
be0e63ae-2f77-4fb4-b802-cbbf78b6d1e6	Nitish Kumar	person	IN	64	Prof. Nitish Kumar||Shri Nitish Kumar||Dr. Nitish Kumar
dd3df954-7579-404d-8ea4-e5ae05ab4cbb	Revanth Reddy government	organization	IN	56	Revanth govt||Telangana govt||Revanth Reddy government
dab4f90f-0649-4ddb-a47f-666b8b220bb5	Prime Minister's Office (India)	organization	IN	48	PMO||Indian PMO
ba0c8ae4-6336-436b-8ff4-032f6e4e2fe7	Comptroller and Auditor General of India	organization	IN	42	CAG
92a84982-18e1-4fcd-ac69-e2965794f789	Asaduddin Owaisi	person	IN	40	Owaisi||AIMIM Chief||Owaisi MP Hyderabad
d602bca6-2647-4e9a-9547-cb41f66ce0e2	Sharad Pawar	person	IN	33	MP Pawar||Pawar||Shri Sharad Pawar||Dr. Sharad Pawar||Prof. Sharad Pawar
8b2ccbde-42d2-401f-944c-2fb70cd2136c	Nitish Kumar Reddy	person		32	Reddy
be2cfd8a-2b95-4c8f-b9c9-35a4a62348a1	Kerala Congress	person	IN	31	Shri Kerala Congress||Prof. Kerala Congress||Dr. Kerala Congress||Kerala Congress (M)||Kerala Congress (Mani)||MLA Congress||Kerala Congress (Jacob)||Congress
